«”г «бб«Џ»;«бЏг—;«бг—я“;Џѕѕ «б г—н—« ;ѕё… «б г—н—«  (%);Џѕѕ «б ”ѕнѕ« ;Џѕѕ «б√еѕ«Ё;д”»… «бдћ«Ќ Ён «бгж«ће«  (%);«б”—Џ… «бё’жм (яг/”);«бг”«Ё… «бгёЎжЏ… (яг);гЏѕб д»÷ «бёб»;д”»… «б Џ» Ён де«н… «б‘жЎ;«б ённг «бЏ«г; ’днЁ «бб«Џ»; ’днЁ «бб«Џ»2
Ёеѕ «б—жнбн;28;ж”Ў;79;85.00;11;0;64.96;32.90;8.09;139;28.97;6.10;џн— гжеж»;џн— гжеж»
Ёеѕ «бг«бян;16;ж”Ў;28;88.47;3;1;66.15;33.40;7.09;161;33.42;7.16;џн— гжеж»;гжеж»
Ёеѕ «б—жнбн;19;Ќ«—”;52;78.20;2;2;87.68;31.73;6.77;131;25.34;8.56;гжеж»;гжеж»
”«бг «б‘г—н;19;ж”Ў;44;82.10;7;2;65.32;29.07;10.01;133;27.75;6.17;џн— гжеж»;џн— гжеж»
гЌгѕ «б“е—«дн;18;ећжг;59;88.75;6;3;66.77;33.97;8.35;151;46.56;8.09;гжеж»;гжеж»
√Ќгѕ «б“е—«дн;30;Ќ«—”;18;73.40;7;5;51.25;28.02;9.56;127;13.47;7.24;гжеж»;гжеж»
—«я«д «бЏд“н;18;ж”Ў;53;62.17;9;0;40.88;27.88;8.80;123;49.30;8.04;гжеж»;гжеж»
ќ«бѕ «б»бжн;21;ѕЁ«Џ;27;61.18;6;0;42.01;29.37;8.73;134;11.72;7.48;гжеж»;гжеж»
”Џжѕ «б“е—«дн;22;ѕЁ«Џ;45;71.77;8;6;48.77;26.00;10.55;132;50.11;5.80;џн— гжеж»;џн— гжеж»
√Ќгѕ «бЏ н»н;20;ж”Ў;34;85.00;1;0;88.99;31.85;7.36;151;46.21;5.31;џн— гжеж»;џн— гжеж»
ќ«бѕ «б“е—«дн;27;ж”Ў;74;66.05;2;0;58.4;30.85;10.51;135;35.42;6.39;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бЏ н»н;19;ѕЁ«Џ;63;74.30;5;1;61.84;33.52;6.48;162;25.64;7.81;гжеж»;гжеж»
”«бг «б“е—«дн;19;Ќ«—”;34;79.22;3;2;87.14;26.87;8.50;128;35.82;4.87;џн— гжеж»;џн— гжеж»
д«’— «бг«бян;25;ећжг;74;92.85;5;1;43.94;31.91;9.10;170;27.65;4.81;џн— гжеж»;џн— гжеж»
гЌгѕ «бџ«гѕн;27;ж”Ў;27;69.48;2;0;79.22;32.35;6.65;138;25.84;9.64;гжеж»;гжеж»
Џ»ѕ«ббе «б‘г—н;20;ѕЁ«Џ;33;68.40;8;2;81.71;28.95;9.09;115;29.23;6.40;џн— гжеж»;џн— гжеж»
”«бг «бџ«гѕн;20;ж”Ў;85;86.98;5;3;63.27;30.08;6.56;128;17.98;9.16;гжеж»;гжеж»
 —ян «б“е—«дн;21;ећжг;47;93.43;0;1;60.99;25.03;5.84;131;13.78;6.09;џн— гжеж»;џн— гжеж»
д«’— «б‘г—н;15;ж”Ў;36;94.62;6;2;44.58;28.34;6.90;122;43.02;7.33;гжеж»;гжеж»
√Ќгѕ «б—жнбн;24;Ќ«—”;16;86.70;4;5;85.79;23.64;7.69;135;26.88;5.16;џн— гжеж»;џн— гжеж»
 —ян «б»бжн;17;ећжг;72;90.28;7;2;41.02;30.47;10.04;130;35.88;8.25;гжеж»;гжеж»
ќ«бѕ «бг«бян;19;Ќ«—”;56;75.56;6;5;82.86;24.96;8.22;168;17.31;6.21;џн— гжеж»;џн— гжеж»
гЌгѕ «б‘г—н;24;Ќ«—”;27;62.67;7;2;54.78;33.54;8.64;178;42.29;8.05;гжеж»;гжеж»
ќ«бѕ «б‘г—н;18;Ќ«—”;84;86.81;4;1;85.79;31.08;9.82;135;35.20;7.37;гжеж»;гжеж»
”Џжѕ «бёЌЎ«дн;21;ећжг;20;90.06;2;1;49.16;24.84;7.11;147;28.15;8.06;гжеж»;гжеж»
√Ќгѕ «бёЌЎ«дн;16;ѕЁ«Џ;43;60.57;4;2;42.16;24.61;9.74;165;36.38;4.61;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «б—жнбн;18;ећжг;55;82.65;6;2;62.12;24.66;8.33;165;17.77;6.59;џн— гжеж»;џн— гжеж»
√Ќгѕ «бг«бян;23;ећжг;74;79.33;1;0;63.34;29.13;7.73;124;32.92;6.70;џн— гжеж»;џн— гжеж»
ќ«бѕ «бёЌЎ«дн;18;ећжг;81;77.83;4;4;55.69;33.35;7.47;133;36.25;8.08;гжеж»;гжеж»
Ёеѕ «бЌ—»н;21;Ќ«—”;9;93.27;11;4;80.42;28.84;7.74;147;24.30;7.20;гжеж»;гжеж»
ќ«бѕ «б—жнбн;18;ж”Ў;31;64.01;9;0;45.04;27.69;10.36;117;16.09;5.15;џн— гжеж»;џн— гжеж»
ќ«бѕ «б‘г—н;17;Ќ«—”;14;75.73;7;3;66.87;24.19;10.21;138;17.60;8.45;гжеж»;гжеж»
Џ»ѕ«ббе «б‘г—н;18;ећжг;62;88.11;6;3;87.06;25.46;10.01;136;43.20;5.06;џн— гжеж»;џн— гжеж»
Ёеѕ «бг«бян;18;ж”Ў;32;67.03;3;0;58.85;26.74;9.89;140;8.89;5.96;џн— гжеж»;џн— гжеж»
д«’— «бЌ—»н;25;ећжг;46;83.57;7;4;64.27;33.65;10.44;137;16.01;7.14;џн— гжеж»;гжеж»
 —ян «бЏ н»н;22;ећжг;86;74.23;3;1;57.38;28.16;10.02;144;26.89;8.95;гжеж»;гжеж»
—«я«д «бџ«гѕн;26;ѕЁ«Џ;50;81.78;6;1;55.76;28.52;9.83;175;34.41;8.97;гжеж»;гжеж»
Ёеѕ «б—жнбн;27;Ќ«—”;89;65.43;7;2;62.44;29.92;7.12;176;23.30;6.85;џн— гжеж»;џн— гжеж»
√Ќгѕ «бЌ—»н;30;Ќ«—”;28;71.91;5;2;71.61;25.02;7.18;165;41.78;7.13;џн— гжеж»;гжеж»
Ёеѕ «б—жнбн;18;ж”Ў;87;85.24;9;1;41.64;32.68;7.75;170;38.54;5.42;џн— гжеж»;џн— гжеж»
Ёеѕ «бЏд“н;25;ећжг;45;67.22;8;3;66.51;29.44;8.35;124;48.65;7.90;гжеж»;гжеж»
Ёеѕ «б—жнбн;25;ж”Ў;58;88.85;0;1;54.5;29.70;11.83;143;41.93;5.50;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «б‘г—н;20;ѕЁ«Џ;54;89.58;6;1;88.19;23.91;10.59;162;41.56;8.21;гжеж»;гжеж»
—«я«д «бџ«гѕн;24;ж”Ў;34;93.78;5;2;53.16;34.40;9.56;121;28.19;4.90;џн— гжеж»;џн— гжеж»
”Џжѕ «б»бжн;17;ѕЁ«Џ;64;76.84;0;2;67.47;26.50;6.17;159;40.44;4.58;џн— гжеж»;џн— гжеж»
Ёеѕ «б—жнбн;26;ећжг;48;71.28;3;2;88.85;24.21;11.82;140;36.43;7.95;гжеж»;гжеж»
 —ян «бёЌЎ«дн;20;Ќ«—”;38;65.78;3;3;79.92;26.47;8.41;162;37.73;8.66;гжеж»;гжеж»
д«’— «б“е—«дн;27;ж”Ў;64;70.08;7;3;81.94;27.39;6.27;131;39.10;9.17;гжеж»;гжеж»
 —ян «бџ«гѕн;16;ѕЁ«Џ;55;90.15;9;5;55.34;28.59;10.78;128;29.20;6.57;џн— гжеж»;џн— гжеж»
гЌгѕ «б‘г—н;21;ж”Ў;18;77.81;6;1;88.91;32.82;11.10;183;13.92;8.54;гжеж»;гжеж»
”Џжѕ «бЏ н»н;18;Ќ«—”;80;73.53;2;0;61.91;32.80;8.10;135;22.61;5.68;џн— гжеж»;џн— гжеж»
гЌгѕ «б—жнбн;29;ећжг;25;93.83;7;5;68.39;26.68;8.14;143;18.75;5.18;џн— гжеж»;џн— гжеж»
гЌгѕ «бёЌЎ«дн;22;ећжг;68;89.45;2;2;41.35;30.07;10.34;163;23.23;5.96;џн— гжеж»;џн— гжеж»
гЌгѕ «бЏд“н;26;ѕЁ«Џ;51;70.50;7;5;51.4;25.37;7.59;157;15.86;6.73;џн— гжеж»;џн— гжеж»
гЌгѕ «бг«бян;22;ѕЁ«Џ;13;82.62;6;1;72.76;25.54;7.21;155;26.94;7.49;гжеж»;гжеж»
ќ«бѕ «бЌ—»н;20;ж”Ў;84;92.76;6;0;45.04;32.94;5.86;156;24.08;6.40;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бЏ н»н;26;ж”Ў;75;85.24;0;0;86.65;28.03;7.20;163;16.62;8.85;гжеж»;гжеж»
—«я«д «бЏд“н;28;ѕЁ«Џ;16;72.55;10;3;53.57;28.14;8.84;157;35.56;6.38;џн— гжеж»;џн— гжеж»
”«бг «бёЌЎ«дн;29;ѕЁ«Џ;31;60.78;8;0;72.73;31.22;10.55;141;39.59;7.62;гжеж»;гжеж»
 —ян «бЏд“н;26;ећжг;68;86.34;2;1;70.09;32.68;9.93;127;16.69;5.46;џн— гжеж»;џн— гжеж»
”«бг «бЌ—»н;28;ећжг;69;90.78;8;0;65.87;28.60;8.67;171;22.70;7.36;гжеж»;гжеж»
√Ќгѕ «бг«бян;19;ж”Ў;43;76.17;4;2;48.35;29.20;9.18;157;24.32;8.74;гжеж»;гжеж»
—«я«д «б‘г—н;20;ж”Ў;47;69.26;3;2;74.74;30.12;8.94;134;40.46;7.54;гжеж»;гжеж»
Џ»ѕ«ббе «б“е—«дн;18;ж”Ў;70;64.29;8;2;50.53;26.18;10.41;183;15.46;7.35;гжеж»;гжеж»
Ёеѕ «б‘г—н;19;ж”Ў;59;83.28;7;2;64.65;25.12;8.45;136;38.99;7.27;гжеж»;гжеж»
”«бг «бг«бян;26;ж”Ў;53;86.16;3;1;75.59;27.72;9.08;141;12.44;5.93;џн— гжеж»;џн— гжеж»
”Џжѕ «б—жнбн;21;ѕЁ«Џ;39;72.92;5;0;78.65;25.90;10.09;139;11.01;6.31;џн— гжеж»;џн— гжеж»
 —ян «бЌ—»н;26;ећжг;52;78.83;9;3;40.49;28.89;8.68;142;43.94;5.03;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бёЌЎ«дн;23;ећжг;36;87.78;0;0;78.76;29.97;8.91;133;10.39;7.07;гжеж»;гжеж»
”Џжѕ «бЏ н»н;19;ећжг;47;72.29;5;3;70.88;31.33;7.20;135;20.27;6.09;џн— гжеж»;џн— гжеж»
Ёеѕ «бЌ—»н;19;ећжг;23;64.87;1;1;56.29;31.49;10.70;157;38.37;6.43;џн— гжеж»;џн— гжеж»
√Ќгѕ «б‘г—н;29;ж”Ў;20;74.53;0;1;55.09;26.74;9.39;138;14.51;8.85;гжеж»;гжеж»
Џ»ѕ«ббе «б‘г—н;27;ѕЁ«Џ;18;92.45;7;2;58.54;31.74;9.93;173;25.57;7.96;гжеж»;гжеж»
Ёеѕ «б—жнбн;22;ѕЁ«Џ;47;83.27;4;0;67.36;33.53;10.68;119;36.96;7.51;гжеж»;гжеж»
”«бг «бЏ н»н;25;Ќ«—”;46;90.61;6;1;54.13;29.28;7.18;132;17.85;5.76;џн— гжеж»;џн— гжеж»
гЌгѕ «б—жнбн;26;ѕЁ«Џ;94;88.43;4;3;75.66;26.30;11.69;171;26.32;7.64;гжеж»;гжеж»
 —ян «бџ«гѕн;21;ж”Ў;63;89.70;10;4;67.38;27.90;9.68;132;21.59;7.58;гжеж»;гжеж»
√Ќгѕ «б—жнбн;23;ећжг;63;69.34;4;1;72.16;28.14;10.10;159;15.75;8.41;гжеж»;гжеж»
√Ќгѕ «б“е—«дн;27;ѕЁ«Џ;63;84.94;4;1;76.22;32.63;9.32;159;45.25;6.42;џн— гжеж»;џн— гжеж»
 —ян «бџ«гѕн;26;Ќ«—”;90;87.36;2;2;53.72;30.87;8.73;169;26.29;8.36;гжеж»;гжеж»
Џ»ѕ«ббе «б—жнбн;22;ж”Ў;85;72.03;7;2;85.68;26.13;8.79;132;10.47;5.41;џн— гжеж»;џн— гжеж»
”Џжѕ «б—жнбн;25;ѕЁ«Џ;38;83.18;3;1;75.79;27.21;8.32;153;31.83;6.46;џн— гжеж»;џн— гжеж»
—«я«д «бџ«гѕн;27;Ќ«—”;29;72.68;1;2;56.45;31.80;10.25;124;24.03;9.79;гжеж»;гжеж»
 —ян «б“е—«дн;16;ѕЁ«Џ;63;64.90;3;2;77.78;28.39;8.36;137;30.68;5.27;џн— гжеж»;џн— гжеж»
—«я«д «бг«бян;24;ж”Ў;65;94.67;4;4;58.14;29.97;11.83;172;36.27;7.19;џн— гжеж»;гжеж»
 —ян «б‘г—н;20;ећжг;71;92.38;5;2;48.12;25.25;9.28;145;23.33;5.92;џн— гжеж»;џн— гжеж»
”Џжѕ «бЌ—»н;17;ећжг;17;73.53;0;1;75.06;27.92;6.23;115;44.09;8.98;гжеж»;гжеж»
”Џжѕ «бг«бян;21;ећжг;78;72.36;2;2;64.16;27.31;11.09;156;12.44;8.94;гжеж»;гжеж»
д«’— «б—жнбн;17;ѕЁ«Џ;84;87.73;8;1;79.18;32.64;9.38;143;23.47;8.79;гжеж»;гжеж»
гЌгѕ «бёЌЎ«дн;21;ж”Ў;14;91.53;3;1;70.54;25.86;10.07;172;45.69;4.66;џн— гжеж»;џн— гжеж»
√Ќгѕ «б»бжн;16;ећжг;56;93.37;7;5;41.96;33.84;11.40;163;41.72;5.43;џн— гжеж»;џн— гжеж»
ќ«бѕ «б‘г—н;24;ѕЁ«Џ;31;60.99;3;0;83.57;28.08;11.07;137;24.46;5.38;џн— гжеж»;џн— гжеж»
ќ«бѕ «бг«бян;26;ећжг;67;92.80;4;1;61.39;33.20;8.08;144;46.63;7.86;гжеж»;гжеж»
Ёеѕ «б»бжн;18;ж”Ў;37;79.98;1;0;52.91;29.76;10.04;140;25.06;6.14;џн— гжеж»;џн— гжеж»
Ёеѕ «бЏ н»н;27;ж”Ў;75;78.92;9;3;40.9;32.38;7.61;129;24.07;6.43;џн— гжеж»;џн— гжеж»
√Ќгѕ «бг«бян;24;ећжг;82;94.63;2;0;66.12;33.67;8.85;124;13.39;8.72;гжеж»;гжеж»
√Ќгѕ «б»бжн;25;Ќ«—”;63;86.28;12;3;60.9;27.38;7.99;140;42.70;4.62;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бџ«гѕн;25;ж”Ў;38;68.84;6;3;49.44;24.42;9.59;152;41.34;8.81;гжеж»;гжеж»
√Ќгѕ «б—жнбн;20;ѕЁ«Џ;55;94.78;12;3;77.64;33.76;8.15;152;44.13;7.75;гжеж»;гжеж»
Ёеѕ «бг«бян;22;ж”Ў;35;76.07;9;2;87.89;32.80;9.11;142;26.97;5.08;џн— гжеж»;џн— гжеж»
гЌгѕ «бЌ—»н;28;Ќ«—”;35;82.03;1;0;81.04;27.97;9.21;182;26.39;6.19;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «б“е—«дн;19;ѕЁ«Џ;63;88.87;7;5;89.81;25.16;9.46;133;13.91;8.65;гжеж»;гжеж»
ќ«бѕ «б‘г—н;16;Ќ«—”;82;81.00;0;0;77.34;25.26;9.06;123;27.51;5.74;џн— гжеж»;џн— гжеж»
—«я«д «бЏд“н;23;ж”Ў;91;86.95;8;3;81.09;30.30;6.11;126;25.42;6.02;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «б‘г—н;26;ж”Ў;14;65.06;1;1;84.64;25.12;6.14;139;32.76;6.32;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «б»бжн;29;ѕЁ«Џ;85;66.31;0;1;66.13;29.26;7.66;173;35.49;4.52;џн— гжеж»;џн— гжеж»
Ёеѕ «б‘г—н;20;ећжг;19;93.80;5;0;42.26;31.97;8.32;152;26.73;6.77;гжеж»;џн— гжеж»
 —ян «бџ«гѕн;21;ж”Ў;15;75.97;5;1;73.07;25.57;9.75;168;34.23;9.66;гжеж»;гжеж»
√Ќгѕ «б—жнбн;26;ж”Ў;89;81.55;0;1;53.69;32.42;6.48;129;33.04;5.92;џн— гжеж»;џн— гжеж»
ќ«бѕ «б—жнбн;25;ѕЁ«Џ;70;63.53;0;0;84.45;29.83;10.03;134;34.54;6.60;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бџ«гѕн;27;Ќ«—”;57;93.88;8;5;40.89;27.47;11.01;146;12.75;7.00;џн— гжеж»;џн— гжеж»
 —ян «бг«бян;25;ѕЁ«Џ;17;66.24;6;4;54.69;31.12;8.12;144;12.70;6.79;џн— гжеж»;џн— гжеж»
ќ«бѕ «бЏд“н;18;Ќ«—”;9;67.70;0;1;45.77;31.73;10.11;139;25.47;8.29;гжеж»;гжеж»
д«’— «бг«бян;22;ж”Ў;64;61.46;2;1;68.28;26.12;9.37;171;21.78;8.49;гжеж»;гжеж»
Ёеѕ «б“е—«дн;27;ж”Ў;28;87.78;2;0;74.6;31.11;7.40;134;27.35;5.45;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «б—жнбн;16;ѕЁ«Џ;49;62.11;6;4;40.53;33.69;6.29;155;38.29;9.49;гжеж»;гжеж»
гЌгѕ «б“е—«дн;20;ѕЁ«Џ;81;90.71;3;2;85.66;28.23;11.20;178;27.77;9.42;гжеж»;гжеж»
”Џжѕ «бг«бян;17;ж”Ў;11;89.86;6;1;70.53;27.97;10.77;140;44.93;9.35;гжеж»;гжеж»
гЌгѕ «бЌ—»н;29;Ќ«—”;69;72.25;7;5;64.11;27.91;10.60;151;11.79;8.07;гжеж»;гжеж»
гЌгѕ «бЏд“н;21;ж”Ў;35;76.65;2;0;77.19;33.22;7.67;141;10.72;8.12;гжеж»;гжеж»
ќ«бѕ «бџ«гѕн;27;ећжг;25;85.90;6;2;60;32.25;7.46;134;42.32;5.38;џн— гжеж»;џн— гжеж»
ќ«бѕ «б»бжн;22;ж”Ў;58;76.51;4;2;89.98;28.10;7.80;134;26.03;8.28;гжеж»;гжеж»
”«бг «б—жнбн;26;Ќ«—”;7;67.31;2;1;78.84;30.80;5.90;121;14.95;7.95;гжеж»;гжеж»
гЌгѕ «бЏд“н;26;ећжг;88;77.14;1;1;63.1;28.74;7.32;144;45.33;6.99;гжеж»;џн— гжеж»
ќ«бѕ «бЏд“н;24;ж”Ў;41;61.31;8;1;52.7;33.13;6.06;137;41.38;5.27;џн— гжеж»;џн— гжеж»
 —ян «бёЌЎ«дн;19;ж”Ў;20;70.15;2;0;70.45;30.74;7.74;149;26.56;5.06;џн— гжеж»;џн— гжеж»
 —ян «б»бжн;18;ж”Ў;90;78.08;9;6;41.33;28.56;6.72;138;16.27;5.54;џн— гжеж»;џн— гжеж»
д«’— «б‘г—н;17;Ќ«—”;93;76.09;0;1;41.95;26.36;11.20;138;36.20;6.99;џн— гжеж»;џн— гжеж»
 —ян «бЏ н»н;24;ж”Ў;31;76.39;1;0;62.93;29.76;7.21;126;21.98;8.14;гжеж»;гжеж»
”Џжѕ «бЏд“н;26;Ќ«—”;6;88.25;0;0;71.52;28.39;6.13;163;23.42;9.14;гжеж»;гжеж»
д«’— «бёЌЎ«дн;17;ећжг;32;91.16;1;0;46.67;27.90;8.73;152;33.29;8.66;гжеж»;гжеж»
ќ«бѕ «бџ«гѕн;16;ѕЁ«Џ;57;63.09;6;4;52.32;33.81;8.56;161;38.35;7.78;гжеж»;гжеж»
Ёеѕ «бёЌЎ«дн;29;ж”Ў;80;64.83;1;1;57.91;31.51;9.48;167;13.57;9.54;гжеж»;гжеж»
Ёеѕ «бёЌЎ«дн;19;ж”Ў;82;71.12;3;1;85.1;28.56;11.48;126;29.73;7.77;гжеж»;гжеж»
ќ«бѕ «бЏ н»н;26;ећжг;58;71.91;6;2;57.47;32.62;8.20;138;48.34;7.93;гжеж»;гжеж»
 —ян «бџ«гѕн;29;Ќ«—”;45;79.16;3;3;63.4;26.12;8.77;125;28.21;9.54;гжеж»;гжеж»
ќ«бѕ «бёЌЎ«дн;22;ѕЁ«Џ;62;89.02;4;5;69.24;24.82;6.61;122;44.63;5.77;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бг«бян;25;ећжг;33;87.73;8;0;76.62;27.81;10.27;152;11.05;9.02;гжеж»;гжеж»
”«бг «бг«бян;24;ећжг;51;85.31;4;3;61.98;31.94;9.12;143;33.70;6.23;џн— гжеж»;џн— гжеж»
 —ян «бг«бян;16;ѕЁ«Џ;15;91.79;8;2;60.38;33.49;8.12;131;9.70;8.50;гжеж»;гжеж»
”Џжѕ «бЏ н»н;23;Ќ«—”;62;86.90;8;5;73.6;26.37;6.42;134;21.08;4.91;џн— гжеж»;џн— гжеж»
 —ян «бг«бян;20;ећжг;82;84.49;8;5;64.67;28.82;9.88;168;32.14;5.75;џн— гжеж»;џн— гжеж»
”Џжѕ «бёЌЎ«дн;23;ж”Ў;86;67.96;10;5;47.24;32.98;9.50;125;48.86;5.41;џн— гжеж»;џн— гжеж»
—«я«д «бг«бян;20;ѕЁ«Џ;43;79.73;3;2;65.58;26.20;6.13;161;22.49;6.56;џн— гжеж»;џн— гжеж»
д«’— «б‘г—н;18;ѕЁ«Џ;36;70.01;7;2;71.51;25.56;8.50;115;50.19;8.63;гжеж»;гжеж»
ќ«бѕ «бџ«гѕн;17;ѕЁ«Џ;26;86.79;5;1;81.95;32.62;7.26;178;34.30;5.25;џн— гжеж»;џн— гжеж»
√Ќгѕ «б»бжн;23;ѕЁ«Џ;76;68.67;9;2;48.23;28.03;10.74;155;39.54;9.28;гжеж»;гжеж»
д«’— «б“е—«дн;27;Ќ«—”;75;87.57;5;0;76.95;24.95;8.58;122;43.67;7.72;гжеж»;гжеж»
Ёеѕ «бг«бян;18;ећжг;25;61.97;5;0;78.39;32.38;6.83;149;34.39;6.31;џн— гжеж»;џн— гжеж»
д«’— «бџ«гѕн;25;ећжг;70;87.92;0;0;54.6;28.82;11.30;145;22.20;7.97;гжеж»;гжеж»
Џ»ѕ«ббе «бЌ—»н;22;ж”Ў;51;80.76;2;0;70;33.21;9.35;155;16.38;8.25;гжеж»;гжеж»
”«бг «б“е—«дн;18;ећжг;81;61.93;2;1;58.04;28.66;6.48;176;18.01;5.64;џн— гжеж»;џн— гжеж»
Ёеѕ «бЌ—»н;27;ѕЁ«Џ;43;74.03;4;0;83.39;27.10;11.32;174;46.05;6.83;џн— гжеж»;џн— гжеж»
гЌгѕ «бџ«гѕн;26;ж”Ў;29;92.71;11;6;76.01;30.51;11.47;176;29.20;5.53;џн— гжеж»;џн— гжеж»
√Ќгѕ «бЏ н»н;22;ж”Ў;70;77.73;6;1;72.38;31.43;9.86;133;18.76;9.02;гжеж»;гжеж»
гЌгѕ «б»бжн;23;ѕЁ«Џ;85;61.44;5;1;58.85;28.78;7.57;163;39.31;7.98;гжеж»;гжеж»
 —ян «бЏ н»н;29;ѕЁ«Џ;12;67.14;9;1;75.37;33.29;9.12;151;23.52;7.56;гжеж»;гжеж»
гЌгѕ «бЌ—»н;26;ѕЁ«Џ;57;79.65;6;1;46.89;23.74;9.88;125;16.69;9.16;гжеж»;гжеж»
гЌгѕ «бџ«гѕн;17;ећжг;83;74.81;0;1;45.01;25.71;11.17;165;43.87;5.72;џн— гжеж»;џн— гжеж»
д«’— «бЌ—»н;27;Ќ«—”;30;67.96;1;1;43.49;32.27;10.02;168;13.41;7.21;гжеж»;гжеж»
”Џжѕ «бџ«гѕн;21;ѕЁ«Џ;85;94.76;0;0;78.8;28.98;8.17;168;44.04;5.00;џн— гжеж»;џн— гжеж»
”«бг «бг«бян;24;ж”Ў;56;87.02;11;4;53.81;31.76;6.75;140;39.90;9.25;гжеж»;гжеж»
Ёеѕ «б“е—«дн;24;ећжг;9;69.41;5;0;40.03;33.81;10.32;141;13.39;7.02;гжеж»;гжеж»
ќ«бѕ «бЏд“н;25;Ќ«—”;15;75.85;5;3;50.99;29.30;8.77;167;23.98;8.17;гжеж»;гжеж»
д«’— «бџ«гѕн;22;ећжг;18;60.23;10;3;53.38;31.26;9.39;133;40.57;8.89;гжеж»;гжеж»
”«бг «бџ«гѕн;30;ж”Ў;9;65.62;9;3;50.35;27.99;11.00;148;24.07;4.65;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бЌ—»н;29;Ќ«—”;77;78.94;6;1;73.79;27.08;10.26;141;31.12;7.67;гжеж»;гжеж»
Ёеѕ «б‘г—н;26;Ќ«—”;62;74.69;8;1;40.5;34.70;7.40;146;22.19;5.71;џн— гжеж»;џн— гжеж»
—«я«д «бЏд“н;20;ећжг;9;79.47;5;5;50;24.75;9.66;164;34.74;9.17;гжеж»;гжеж»
—«я«д «б“е—«дн;21;Ќ«—”;34;85.52;6;5;57.84;25.70;9.59;183;21.95;5.62;џн— гжеж»;џн— гжеж»
д«’— «бЏ н»н;21;ж”Ў;66;63.23;4;3;41.75;31.74;10.66;153;17.75;5.46;џн— гжеж»;џн— гжеж»
д«’— «б“е—«дн;23;ѕЁ«Џ;82;87.87;0;1;54.98;32.55;9.36;156;35.80;9.29;гжеж»;гжеж»
 —ян «бЏ н»н;20;ж”Ў;52;87.12;6;0;58.06;26.70;5.55;177;26.32;4.57;џн— гжеж»;џн— гжеж»
—«я«д «бЏд“н;25;ѕЁ«Џ;45;79.84;5;4;79.39;30.46;9.05;128;43.15;6.71;џн— гжеж»;џн— гжеж»
 —ян «б“е—«дн;26;Ќ«—”;61;92.03;6;2;45.27;28.81;6.61;170;35.00;6.40;џн— гжеж»;џн— гжеж»
ќ«бѕ «бЏд“н;29;ѕЁ«Џ;11;90.88;2;0;71.86;29.46;6.74;136;37.79;7.84;гжеж»;гжеж»
”«бг «бг«бян;23;ећжг;89;80.29;4;1;79.59;33.56;9.91;168;21.57;5.59;џн— гжеж»;џн— гжеж»
ќ«бѕ «бџ«гѕн;16;Ќ«—”;45;78.33;10;3;41.25;26.71;7.14;132;11.95;5.37;џн— гжеж»;џн— гжеж»
—«я«д «б“е—«дн;24;ећжг;91;83.33;5;1;63.9;31.15;6.60;137;29.16;8.65;гжеж»;гжеж»
 —ян «бЌ—»н;22;Ќ«—”;51;78.81;6;0;67.72;25.68;11.41;127;35.27;8.12;гжеж»;гжеж»
√Ќгѕ «бЏд“н;18;ж”Ў;43;85.74;6;4;54.73;27.95;8.53;161;32.18;8.32;гжеж»;гжеж»
ќ«бѕ «бЌ—»н;19;Ќ«—”;42;75.39;10;1;64.73;29.22;9.19;124;46.96;6.12;џн— гжеж»;џн— гжеж»
Ёеѕ «бЏд“н;25;Ќ«—”;64;94.86;0;1;84.78;34.30;9.93;168;12.67;7.41;гжеж»;гжеж»
д«’— «б‘г—н;23;Ќ«—”;22;91.46;7;0;47.33;34.51;9.93;139;13.53;7.88;гжеж»;гжеж»
”Џжѕ «б‘г—н;25;ѕЁ«Џ;74;88.21;5;4;46.03;26.59;6.35;141;26.36;7.09;гжеж»;гжеж»
Џ»ѕ«ббе «б»бжн;21;Ќ«—”;38;62.96;3;1;80.14;33.37;7.72;173;36.36;5.49;џн— гжеж»;џн— гжеж»
”«бг «б»бжн;28;ѕЁ«Џ;86;82.02;1;2;47.85;26.16;6.80;141;45.99;6.06;џн— гжеж»;џн— гжеж»
”Џжѕ «бг«бян;19;ж”Ў;27;88.30;7;4;69.04;32.23;9.01;170;15.46;6.53;џн— гжеж»;џн— гжеж»
Ёеѕ «б“е—«дн;22;ж”Ў;72;69.85;9;2;86.42;33.66;9.31;132;47.33;6.69;гжеж»;џн— гжеж»
”Џжѕ «бг«бян;22;ѕЁ«Џ;65;63.63;7;3;72.85;32.12;6.46;145;16.98;8.27;гжеж»;гжеж»
